scientific_name,longitude,latitude
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,94.36,29.63
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,95.76,29.85
Pinus densata,102.23,29.91
Pinus densata,102.23,29.91
Pinus densata,102.54,30.91
Pinus densata,101.5,27.42
Pinus densata,101.5,27.42
Pinus densata,101.5,27.42
Pinus densata,101.5,27.42
Pinus densata,94.1638,29.7488
Pinus densata,99.166667,28.583333
Pinus densata,99.166667,28.583333
Pinus densata,99.620003,27.879999
Pinus densata,100.122778,27.954722
Pinus densata,102,31
Pinus densata,99.716667,27.716667
Pinus densata,99.716667,27.716667
Pinus densata,94.833333,29.966667
Pinus densata,99.75,28.266667
Pinus densata,99.928333,29.141111
Pinus densata,93.9,29.133333
Pinus densata,99.833333,28.716667
Pinus densata,93.08,29.08
Pinus densata,93.9,29.03
Pinus densata,94.8,29.95
Pinus densata,94.38,29.67
Pinus densata,94.8,29.95
Pinus densata,93.9,29.03
Pinus densata,93.22,28.98
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,99.706013,27.82308
Pinus densata,98.911543,28.48611
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,99.706013,27.82308
Pinus densata,100.85195,27.2822
Pinus densata,99.706013,27.82308
