Species number,lat,lon,Distribution point
235,41.06462,122.95412,"Qianshan District, Anshan City, Liaoning Province, China"
236,42.025501,123.726105,"Hunnan District, Shenyang City, Liaoning Province, China"
237,41.31877,123.81895,"Mingshan District, Benxi City, Liaoning Province, China"
238,41.308756,123.816945,"Mingshan District, Benxi City, Liaoning Province, China"
239,41.30977,123.821495,"Mingshan District, Benxi City, Liaoning Province, China"
240,42.283131,123.868179,"Yinzhou District, Tieling City, Liaoning Province, China"
241,42.546315,124.038091,"Kaiyuan city, Tieling City, Liaoning Province, China"
242,40.453461,124.078857,"Fengcheng City, Dandong City, Liaoning Province, China"
243,40.767542,124.742889,"Shihugou Township, Kuandian Manchu Autonomous County, Dandong City, Liaoning Province, China"
244,41.372044,125.117233,"Huanren Manchu Autonomous County, Benxi City, Liaoning Province, China"
245,42.946033,126.064583,"Panshi City, Jilin City, Jilin Province, China"
246,41.955983,126.395651,"Qidaojiang Town, Hunjiang District, Baishan City, Jilin Province, China"
247,43.878098,126.615715,"Jiangbei Township, Longtan District, Jilin City, Jilin Province, China"
248,41.525298,128.215967,"Malugou Town, Changbai Korean Autonomous County, Baishan City, Jilin Province, China"
249,42.910789,129.503845,"Yanji City, Yanbian Korean Autonomous Prefecture, Jilin Province, China"
250,43.285578,129.769478,"Wangqing Town, Wangqing County, Yanbian Korean Autonomous Prefecture, Jilin Province, China"
251,44.1537,88.024564,"Chengguan Town, Fukang City, Changji Hui Autonomous Prefecture, Xinjiang Uygur Autonomous Region, China"
252,43.9095,81.27725,"Yining City, Yili Kazak Autonomous Prefecture, Xinjiang Uygur Autonomous Region, China"
253,44.30653,86.07893,"Shihezi City, Xinjiang Uygur Autonomous Region, China"
254,43.36378,88.31104,"Dabancheng District, Urumqi City, Xinjiang Uygur Autonomous Region, China"
255,43.993308,82.792625,"Kokhothor Mongolian nationality township, nilek County, Yili Kazak Autonomous Prefecture, Xinjiang Uygur Autonomous Region, China"
256,44.496995,83.540039,"Jinghe County, Bortala Mongolian Autonomous Prefecture, Xinjiang Uygur Autonomous Region, China"
257,44.74338,85.380249,"Shawan County, Tacheng Prefecture, Xinjiang Uygur Autonomous Region, China"
258,44.602752,86.511841,"Hutubi County, Changji Hui Autonomous Prefecture, Xinjiang Uygur Autonomous Region, China"
259,42.75155,87.676048,"Nairenke Township, Heshuo County, Bayingolin Mongolian Autonomous Prefecture, Xinjiang Uygur Autonomous Region, China"
260,43.425497,89.522438,"Qiquanhu Town, Gaochang District, Turpan City, Xinjiang Uygur Autonomous Region, China"
261,36.654155,101.707238,生物记
262,42.33333333,124.6666667,"辽宁省开原市八棵树镇，(荆蓉, 和彭祚登, 2021)"
262,40.21666667,119.7,"辽宁省绥中县三山，(荆蓉, 和彭祚登, 2022)"
262,43.3,117.5,"内蒙古自治区克什克腾旗合永镇，(荆蓉, 和彭祚登, 2023)"
262,41.38333333,118.45,"内蒙古自治区宁城县黑里河镇，(荆蓉, 和彭祚登, 2024)"
262,40.83333333,109.1666667,"内蒙古自治区达茂旗乌拉山，(荆蓉, 和彭祚登, 2025)"
262,40.11666667,118.3,"河北省迁西县达峪村，(荆蓉, 和彭祚登, 2026)"
262,42.06666667,119.1666667,"河北省围场县燕格柏乡，(荆蓉, 和彭祚登, 2027)"
262,38.66666667,111.9833333,"山西省宁武县前吴家沟村，(荆蓉, 和彭祚登, 2028)"
262,37.78333333,115.8333333,"山西省文水县孝文山，(荆蓉, 和彭祚登, 2029)"
262,35.5,112.0333333,"山西省沁水县中村村，(荆蓉, 和彭祚登, 2030)"
262,35.46666667,108.8666667,"陕西省黄陵县腰坪乡，(荆蓉, 和彭祚登, 2031)"
262,34,109.8,"陕西省洛南县黑山村，(荆蓉, 和彭祚登, 2032)"
262,33.31666667,108.3166667,"陕西省宁陕县火地塘林场，(荆蓉, 和彭祚登, 2033)"
262,38.98333333,105.8833333,"宁夏回族自治区贺兰县贺兰山，(荆蓉, 和彭祚登, 2034)"
262,36.5,104.75,"甘肃省靖远县哈思山，(荆蓉, 和彭祚登, 2035)"
262,33.88333333,106.2666667,"甘肃省两当县张家庄乡，(荆蓉, 和彭祚登, 2036)"
262,37.3,102,"青海省互助县北山，(荆蓉, 和彭祚登, 2037)"
262,33.16666667,104.0833333,"四川省九寨沟县南坪，(荆蓉, 和彭祚登, 2038)"
262,31.38333333,103.25,"四川省理县，(荆蓉, 和彭祚登, 2039)"
262,31.25,117.1,"山东省泰山后石坞，(荆蓉, 和彭祚登, 2040)"
262,40.2,117.95,"河北省遵化市东陵乡，(荆蓉, 和彭祚登, 2041)"
