name,longitude,latitude,prov,date,key
Pinus tabuliformis f. jeholensis Liou & Z.Wang,109.72,30.6,gbif,1958/1/1,2417569221
Pinus tabuliformis f. jeholensis Liou & Z.Wang,109.47,30.29,gbif,1958/1/1,2417590863
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417342376
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417342949
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417343683
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417344433
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417346897
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417347399
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1956/1/1,2417415278
Pinus tabuliformis,116.0205783,40.35930178,inat,2009/7/5,108004543
Pinus tabuliformis,118.1691492,30.13936178,inat,2015/6/20,106993165
Pinus yunnanensis,175.9631963,-39.87842592,inat,2022/1/17,106786890
Pinus tabuliformis,17.74112273,49.54562649,inat,2017/6/13,105770942
Pinus tabuliformis,117.108575,36.26160833,inat,2017/8/8,104042332
Pinus yunnanensis,100.405316,25.34874597,inat,2021/11/1,103096460
Pinus tabuliformis,116.0066306,40.354225,inat,2014/11/12,102603746
Pinus tabuliformis,116.0074611,40.35435,inat,2014/11/12,102603745
