No.,Site,Site name,Longitude (°E),Latitude (°N),Elevation (m),Pinus松属,Pinus Diploxylon松属(双维管束),Pinus Haploxylon松属(单维管束),Pinus + Picea松属+云衫属,Pinus + Picea + Abies松属+云杉属+冷杉属,Pinus koraiensis红松,Pinus pumila偃松,Pinus sylvestris var mongolica樟子松
141,宝清 6,Bao Qing 6,131.730 ,45.580 ,388 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
142,宝清 7,Bao Qing 7,132.080 ,46.680 ,190 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
143,宝清 8,Bao Qing 8,132.080 ,46.680 ,190 ,0.00 ,0.00 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
144,宝华山,Baohua Mt,119.267 ,32.050 ,87 ,77.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
145,巴西 1,Baxi 1,103.020 ,33.550 ,3500 ,1.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
146,巴西 2,Baxi 2,103.020 ,33.550 ,3500 ,5.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
147,巴西 3,Baxi 3,103.020 ,33.550 ,3500 ,4.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
148,巴西 4,Baxi 4,103.020 ,33.550 ,3500 ,29.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
149,巴西 5,Baxi 5,103.020 ,33.550 ,3500 ,2.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
150,巴西 6,Baxi 6,103.020 ,33.550 ,3500 ,1.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
151,巴西 7,Baxi 7,103.020 ,33.550 ,3500 ,1.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
152,北坎,Beikan,121.100 ,32.300 ,22 ,0.00 ,5.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
153,贝力克库勒湖,Beilikekule,88.500 ,37.050 ,4250 ,6.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
154,北仑河口 *A-0,Beilun Estuary *A-0,108.072 ,21.535 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
